"filename", "language", "PHP", "JavaScript", "Markdown", "JSON", "CSS", "TypeScript", "XML", "comment", "blank", "total"
"c:\xampp\htdocs\Blockimino\deleted_comments_log.php", "PHP", 54, 0, 0, 0, 0, 0, 0, 2, 6, 62
"c:\xampp\htdocs\Blockimino\deleted_posts_log.php", "PHP", 47, 0, 0, 0, 0, 0, 0, 3, 6, 56
"c:\xampp\htdocs\Blockimino\deleted_publication.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 5, 30
"c:\xampp\htdocs\Blockimino\followed.php", "PHP", 198, 0, 0, 0, 0, 0, 0, 11, 32, 241
"c:\xampp\htdocs\Blockimino\followers.php", "PHP", 198, 0, 0, 0, 0, 0, 0, 11, 35, 244
"c:\xampp\htdocs\Blockimino\friends.php", "PHP", 198, 0, 0, 0, 0, 0, 0, 11, 32, 241
"c:\xampp\htdocs\Blockimino\group.php", "PHP", 207, 0, 0, 0, 0, 0, 0, 135, 18, 360
"c:\xampp\htdocs\Blockimino\group_manage.php", "PHP", 48, 0, 0, 0, 0, 0, 0, 0, 5, 53
"c:\xampp\htdocs\Blockimino\group_members.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 0, 3, 32
"c:\xampp\htdocs\Blockimino\group_requests.php", "PHP", 95, 0, 0, 0, 0, 0, 0, 4, 21, 120
"c:\xampp\htdocs\Blockimino\groups.php", "PHP", 107, 0, 0, 0, 0, 0, 0, 4, 15, 126
"c:\xampp\htdocs\Blockimino\help.php", "PHP", 105, 0, 0, 0, 0, 0, 0, 4, 9, 118
"c:\xampp\htdocs\Blockimino\help_manage.php", "PHP", 110, 0, 0, 0, 0, 0, 0, 7, 9, 126
"c:\xampp\htdocs\Blockimino\help_request.php", "PHP", 146, 0, 0, 0, 0, 0, 0, 7, 23, 176
"c:\xampp\htdocs\Blockimino\home.php", "PHP", 91, 0, 0, 0, 0, 0, 0, 48, 15, 154
"c:\xampp\htdocs\Blockimino\includes\classes\Grupo.php", "PHP", 335, 0, 0, 0, 0, 0, 0, 19, 34, 388
"c:\xampp\htdocs\Blockimino\includes\classes\Mensaje.php", "PHP", 266, 0, 0, 0, 0, 0, 0, 53, 40, 359
"c:\xampp\htdocs\Blockimino\includes\classes\Notificacion.php", "PHP", 196, 0, 0, 0, 0, 0, 0, 35, 23, 254
"c:\xampp\htdocs\Blockimino\includes\classes\Publicacion.php", "PHP", 5474, 0, 0, 0, 0, 0, 0, 834, 621, 6929
"c:\xampp\htdocs\Blockimino\includes\classes\Usuario.php", "PHP", 214, 0, 0, 0, 0, 0, 0, 49, 44, 307
"c:\xampp\htdocs\Blockimino\includes\form_handlers\login_handler.php", "PHP", 146, 0, 0, 0, 0, 0, 0, 53, 29, 228
"c:\xampp\htdocs\Blockimino\includes\form_handlers\register_handler.php", "PHP", 85, 0, 0, 0, 0, 0, 0, 72, 39, 196
"c:\xampp\htdocs\Blockimino\includes\form_handlers\settings_handler.php", "PHP", 123, 0, 0, 0, 0, 0, 0, 36, 30, 189
"c:\xampp\htdocs\Blockimino\includes\handlers\ajax_copy_project.php", "PHP", 42, 0, 0, 0, 0, 0, 0, 0, 18, 60
"c:\xampp\htdocs\Blockimino\includes\handlers\ajax_delete_comment.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 0, 5, 35
"c:\xampp\htdocs\Blockimino\includes\handlers\ajax_delete_group.php", "PHP", 59, 0, 0, 0, 0, 0, 0, 12, 12, 83
"c:\xampp\htdocs\Blockimino\includes\handlers\ajax_delete_interest.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\xampp\htdocs\Blockimino\includes\handlers\ajax_delete_member.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 5, 5, 34
"c:\xampp\htdocs\Blockimino\includes\handlers\ajax_delete_post.php", "PHP", 61, 0, 0, 0, 0, 0, 0, 5, 11, 77
"c:\xampp\htdocs\Blockimino\includes\handlers\ajax_delete_project.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 2, 5, 28
"c:\xampp\htdocs\Blockimino\includes\handlers\ajax_delete_sanction.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\xampp\htdocs\Blockimino\includes\handlers\ajax_edit_interest.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\xampp\htdocs\Blockimino\includes\handlers\ajax_friend_search.php", "PHP", 76, 0, 0, 0, 0, 0, 0, 6, 10, 92
"c:\xampp\htdocs\Blockimino\includes\handlers\ajax_invite_members.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\xampp\htdocs\Blockimino\includes\handlers\ajax_invite_members_search.php", "PHP", 113, 0, 0, 0, 0, 0, 0, 7, 14, 134
"c:\xampp\htdocs\Blockimino\includes\handlers\ajax_load_blocks.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\xampp\htdocs\Blockimino\includes\handlers\ajax_load_buttons.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 0, 3, 38
"c:\xampp\htdocs\Blockimino\includes\handlers\ajax_load_group_posts.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 4, 2, 14
"c:\xampp\htdocs\Blockimino\includes\handlers\ajax_load_hashtag_posts.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 4, 2, 14
"c:\xampp\htdocs\Blockimino\includes\handlers\ajax_load_info.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 3, 5, 28
"c:\xampp\htdocs\Blockimino\includes\handlers\ajax_load_messages.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 1, 3, 17
"c:\xampp\htdocs\Blockimino\includes\handlers\ajax_load_notifications.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 1, 3, 27
"c:\xampp\htdocs\Blockimino\includes\handlers\ajax_load_opc_projects.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 1, 25
"c:\xampp\htdocs\Blockimino\includes\handlers\ajax_load_posts.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 4, 2, 14
"c:\xampp\htdocs\Blockimino\includes\handlers\ajax_load_profile_posts.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 4, 1, 13
"c:\xampp\htdocs\Blockimino\includes\handlers\ajax_load_trend_posts.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 4, 2, 14
"c:\xampp\htdocs\Blockimino\includes\handlers\ajax_search.php", "PHP", 114, 0, 0, 0, 0, 0, 0, 8, 11, 133
"c:\xampp\htdocs\Blockimino\includes\handlers\ajax_search_hashtags.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 1, 4, 34
"c:\xampp\htdocs\Blockimino\includes\handlers\ajax_search_interest.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 1, 4, 40
"c:\xampp\htdocs\Blockimino\includes\handlers\ajax_search_post_comment.php", "PHP", 78, 0, 0, 0, 0, 0, 0, 0, 9, 87
"c:\xampp\htdocs\Blockimino\includes\handlers\ajax_search_theme.php", "PHP", 83, 0, 0, 0, 0, 0, 0, 4, 8, 95
"c:\xampp\htdocs\Blockimino\includes\handlers\ajax_search_user_to_sanction.php", "PHP", 83, 0, 0, 0, 0, 0, 0, 5, 8, 96
"c:\xampp\htdocs\Blockimino\includes\handlers\ajax_solve_request.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\xampp\htdocs\Blockimino\includes\handlers\ajax_submit_group_post.php", "PHP", 164, 0, 0, 0, 0, 0, 0, 14, 25, 203
"c:\xampp\htdocs\Blockimino\includes\handlers\ajax_submit_profile_post.php", "PHP", 165, 0, 0, 0, 0, 0, 0, 14, 29, 208
"c:\xampp\htdocs\Blockimino\includes\handlers\ajax_update_notifications.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\xampp\htdocs\Blockimino\includes\handlers\ajax_update_posts_settings.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\xampp\htdocs\Blockimino\includes\handlers\ajax_update_project_visibility.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\xampp\htdocs\Blockimino\includes\handlers\ajax_user_to_moderator.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\xampp\htdocs\Blockimino\includes\handlers\ajax_user_to_normal.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\xampp\htdocs\Blockimino\includes\handlers\logout.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\xampp\htdocs\Blockimino\includes\header.php", "PHP", 244, 0, 0, 0, 0, 0, 0, 48, 55, 347
"c:\xampp\htdocs\Blockimino\index.php", "PHP", 34, 0, 0, 0, 0, 0, 0, 0, 7, 41
"c:\xampp\htdocs\Blockimino\invite_members.php", "PHP", 153, 0, 0, 0, 0, 0, 0, 7, 18, 178
"c:\xampp\htdocs\Blockimino\like.php", "PHP", 146, 0, 0, 0, 0, 0, 0, 21, 17, 184
"c:\xampp\htdocs\Blockimino\login.php", "PHP", 113, 0, 0, 0, 0, 0, 0, 2, 14, 129
"c:\xampp\htdocs\Blockimino\manage_users.php", "PHP", 82, 0, 0, 0, 0, 0, 0, 2, 4, 88
"c:\xampp\htdocs\Blockimino\messages.php", "PHP", 138, 0, 0, 0, 0, 0, 0, 5, 14, 157
"c:\xampp\htdocs\Blockimino\new_project.php", "PHP", 73, 0, 0, 0, 0, 0, 0, 0, 16, 89
"c:\xampp\htdocs\Blockimino\new_sanction.php", "PHP", 333, 0, 0, 0, 0, 0, 0, 5, 25, 363
"c:\xampp\htdocs\Blockimino\phpinfo.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\xampp\htdocs\Blockimino\post.php", "PHP", 407, 0, 0, 0, 0, 0, 0, 38, 58, 503
"c:\xampp\htdocs\Blockimino\profile.php", "PHP", 361, 0, 0, 0, 0, 0, 0, 131, 31, 523
"c:\xampp\htdocs\Blockimino\projects.php", "PHP", 186, 0, 0, 0, 0, 0, 0, 12, 17, 215
"c:\xampp\htdocs\Blockimino\publication.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\xampp\htdocs\Blockimino\publication_hashtag.php", "PHP", 77, 0, 0, 0, 0, 0, 0, 54, 18, 149
"c:\xampp\htdocs\Blockimino\publication_trend.php", "PHP", 61, 0, 0, 0, 0, 0, 0, 45, 15, 121
"c:\xampp\htdocs\Blockimino\register.php", "PHP", 225, 0, 0, 0, 0, 0, 0, 3, 10, 238
"c:\xampp\htdocs\Blockimino\requests.php", "PHP", 58, 0, 0, 0, 0, 0, 0, 4, 16, 78
"c:\xampp\htdocs\Blockimino\sanctioned.php", "PHP", 257, 0, 0, 0, 0, 0, 0, 32, 41, 330
"c:\xampp\htdocs\Blockimino\sanctions.php", "PHP", 126, 0, 0, 0, 0, 0, 0, 6, 8, 140
"c:\xampp\htdocs\Blockimino\sanctions_log.php", "PHP", 86, 0, 0, 0, 0, 0, 0, 2, 7, 95
"c:\xampp\htdocs\Blockimino\scripts.js", "JavaScript", 0, 277, 0, 0, 0, 0, 0, 27, 103, 407
"c:\xampp\htdocs\Blockimino\search.php", "PHP", 618, 0, 0, 0, 0, 0, 0, 29, 60, 707
"c:\xampp\htdocs\Blockimino\search_project.php", "PHP", 129, 0, 0, 0, 0, 0, 0, 5, 19, 153
"c:\xampp\htdocs\Blockimino\settings.php", "PHP", 259, 0, 0, 0, 0, 0, 0, 1, 12, 272
"c:\xampp\htdocs\Blockimino\upload.php", "PHP", 153, 0, 0, 0, 0, 0, 0, 44, 35, 232
"c:\xampp\htdocs\Blockimino\upload_project.php", "PHP", 132, 0, 0, 0, 0, 0, 0, 5, 20, 157
"c:\xampp\htdocs\Blockimino\user_closed.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\xampp\htdocs\Blockimino\user_groups.php", "PHP", 156, 0, 0, 0, 0, 0, 0, 11, 30, 197
"c:\xampp\htdocs\Blockimino\user_interests.php", "PHP", 173, 0, 0, 0, 0, 0, 0, 0, 31, 204
"Total", "-", 22110, 77199, 236, 171, 14074, 7785, 69, 29295, 8682, 159621
